      POS  HWN_Offset SWN_Offset                 Armenian                                       English  Positive  Negative  Objective
0       a         NaN   00011160                     ագահ                                greedy,glutton     0.000     0.000      1.000
1       n         NaN   04945530              ագահություն                      greed,greediness,glutton     0.000     0.375      0.625
2       n         NaN   01579028                    ագռավ                             crow,raven,spades     0.000     0.125      0.875
3       n         NaN   06909391                    ագռավ                             crow,raven,spades     0.000     0.000      1.000
4       n         NaN   07382286                    ագռավ                             crow,raven,spades     0.000     0.500      0.500
5       n         NaN   09654259                    ագռավ                             crow,raven,spades     0.000     0.000      1.000
6       a         NaN   00082241                  ագրեսիվ                                    aggressive     0.500     0.000      0.500
7       n         NaN   07753592                ադամաթուզ                                        banana     0.000     0.000      1.000
8       a         NaN   00281173                  ադամանդ                             brilliant,diamond     0.375     0.125      0.500
9       a         NaN   01058363                     ազատ                                          free     0.000     0.625      0.375
10      a         NaN   01061489                     ազատ                                          free     0.375     0.000      0.625
11      a         NaN   01065694                     ազատ                                          free     0.000     0.625      0.375
12      a         NaN   01624010                     ազատ                                          free     0.000     0.750      0.250
13      n         NaN   10001058                 ազատարար                                     deliverer     0.000     0.000      1.000
14      v         NaN   02312882                   ազատել                    emancipate,dismiss,relieve     0.375     0.250      0.375
15      v         NaN   02312996                   ազատել                    emancipate,dismiss,relieve     0.500     0.500      0.000
16      n         NaN   00787832              ազատություն                liberation,deliverance,freedom     0.000     0.000      1.000
17      n         NaN   13991823              ազատություն                liberation,deliverance,freedom     0.000     0.000      1.000
18      n         NaN   08303692                      ազգ                     nation,people,gender,sort     0.000     0.000      1.000
19      n         NaN   07942152                      ազգ                     nation,people,gender,sort     0.000     0.000      1.000
20      n         NaN   07971141                      ազգ                     nation,people,gender,sort     0.000     0.000      1.000
21      n         NaN   04746262                      ազգ                     nation,people,gender,sort     0.000     0.125      0.875
22      n         NaN   10626722                      ազգ                     nation,people,gender,sort     0.000     0.000      1.000
23      n         NaN   01257969         ազգաբնակչություն                                    population     0.000     0.000      1.000
24      n         NaN   08178741         ազգաբնակչություն                                    population     0.000     0.000      1.000
25      n         NaN   08179879         ազգաբնակչություն                                    population     0.000     0.000      1.000
26      n         NaN   13779804         ազգաբնակչություն                                    population     0.000     0.000      1.000
27      n         NaN   09956035            ազգակցություն                                    connection     0.000     0.000      1.000
28      n         NaN   09956147            ազգակցություն                                    connection     0.000     0.000      1.000
29      a         NaN   01105840                  ազգային                                      national     0.000     0.000      1.000
30      a         NaN   01567862                  ազգային                                      national     0.000     0.000      1.000
31      a         NaN   01861776                  ազգային                                      national     0.000     0.000      1.000
32      a         NaN   02988060                  ազգային                                      national     0.000     0.000      1.000
33      a         NaN   02988281                  ազգային                                      national     0.000     0.000      1.000
34      a         NaN   02988402                  ազգային                                      national     0.000     0.000      1.000
35      n         NaN   05965022        ազգայնականություն                                   nationalism     0.250     0.000      0.750
36      n         NaN   05965195        ազգայնականություն                                   nationalism     0.000     0.000      1.000
37      n         NaN   07485047        ազգայնականություն                                   nationalism     0.000     0.000      1.000
38      n         NaN   10346015               ազգայնամոլ                                   nationalist     0.000     0.000      1.000
39      n         NaN   05965022        ազգայնամոլություն                                   nationalism     0.250     0.000      0.750
40      n         NaN   05965195        ազգայնամոլություն                                   nationalism     0.000     0.000      1.000
41      n         NaN   07485047        ազգայնամոլություն                                   nationalism     0.000     0.000      1.000
42      n         NaN   10344922           ազգանվանանակից                                      namesake     0.000     0.000      1.000
43      n         NaN   07949463               ազգություն                                   nationality     0.000     0.000      1.000
44      n         NaN   13953787               ազգություն                                   nationality     0.000     0.000      1.000
45      n         NaN   09185280                 ազդանշան                                        signal     0.000     0.000      1.000
46      n         NaN   11447319                 ազդանշան                                        signal     0.000     0.000      1.000
