Label,Text
negative,Ինչ կարեվոր մարդ է թող վերանան դրանք
negative,"Ժողովուրդ, մի՛ ջրիկացեք։ Ում խելքն ինչ կտրում՝ գրում է։ Ամոթն էլ լավ բան է..."
negative,"այն ոստիկանները, ովքեր ներկա են գտնվել այստեղ և նմանատիպ այլ վայրերում և պահել են այս .......... շահերը, պետք է պատժվեն ամենայն խստությամբ:"
negative,"Բոլորին անխտիր պատասխանատվության կանչել ,,,բոլորին,,,,երբ որ ռուսները հայերին նման կերպ ծեծում են ,,մարդու սիրտ է պայթում ,,,բա դուք ով եք ,,,այ ,,,,,,,,,,,,,,,,,,,,,,.
սպասում ենք ,,երբ է սկսելու սրանք հանդեպ  դատական գործերը ,,,,,,և թող իրենք էլ վճարեն  այս տղային մեծ գումար ,,,բոլորով ,,,,,,զզվելիներ,,,,"
negative,"Սրանք արդեն պետքա նստած լինեին, այն ինչ մենք դեռ սպասում ենք նոր տան բացմանը..(("
negative,"Սարսափում եմ են մտքից,որ սրանց երակներում հայի արյունն է հոսում"
negative,Ամոթ։։։ԱՄՈԹ։։։։😱👇🐸🐒🐖🐖
negative,"Դալմայի այգիները վերացրին, համալիրի հարակից տարածքի անտառները չջրվելու պատճառով չորանում են, կենտրոնի բոլոր կանաչ տարածքները դարձրին շենքեր, մոնումենտի այգիները սարքին հյուրանոց, մի զգալի մասն էլ դղյակներ: Ամեն տարվա հոկտեմբերին էլ մի գյուռ փող են մսխում ու մեզ համոզում, որ իրենք սիրում են Երևանը: Քաղաքապետին ու իրա սաստավին անհապաղ փոխելա պետք: Չեմ հասկանում, սրանք ուզում են գնանք դեմ առ դեմ մերժենք իրանց??? Ե հա կգնանք ..."
negative,"Այսքան ժամանակ սրանով են զբաղվել, նույնն էլ Ծիծեռնակաբերդ տանող անտառում ծառ չի մնացել :"
negative,"Տականքնեեեեր,😡😬մարդու լաց է գալիս, տեսնելով ինչի էն վերածվել անտառներն ու քաղաքի կանաչ տարածքները😣😥"
negative,"Ահավոր տեսարան է,բայց էս պատկերը միայն Երևանում չէ...մեր մոտ էլ են ամբողջ քաղաքի ծառերն արմատից հանել...եղևնիներ են տնկել...որոնք երևի մի 20 տարի հետո  բարձր ծառեր կդառնան....ու դա արվել է Հայաստանի ամենաաղտոտված քաղաքում....տխուր է(((("
negative,"Ախր  ինչ բարեկարգելու մասին է խոսքը  երբ բոլորովին դրա կարիքը չկար"" ամբողջ կանաչապատ,100թէ150ցածր, իրար կողք-կողքի շարված շատրվաններով գեղեցիկ այգի էր :ինչու  քադեցին? Ինչ-որ մի կառույց կսարքեն կողքին էլ մի քանի շատրվան ու կասեն բարեկարգեցինք !!!"
negative,"իրանք  ձեռառնելիք են  մեզ են ձեռառնու  ասելով,որ ընդամենը ընդամենը վնասված ծառերն են կտրել"
negative,Ամեն մի ծառի համար ցավում եմ. Երևանը սիրող մարդը իրան թույլ չի տա անգամ թղթի կտոր գետնին գցի. Ես ինչ են արել սրանք. Ուրիշ ամայի տեղ ձեր բետոնը լցնեիք 😡😢
negative,"նույնիսկ եթե բարեկարգման նպատակ ունեն միևնույն է նախագիծը ուղղակի անընդունելի է, անճաշակ ու տգեղ։ Նման գումարներով կարող էին շատ ավելի լավ նախագիծ իրականացնել այնպիսի տեղերում որտեղ իրոք կա բարեկարգման կարիք, այլ ոչ թե հատել բազում ծառեր քաղաքի կենտրոնում"
negative,Ախր շատ սիրուն էր այգին էս ինչ են արելլ
negative,"Բարբարոսներ, ո՞նց եք կարողացել նման բան անել։"
negative,Տխուր վիճակ 😕
negative,"անկապ  բաներ  ասելու  ու  գրելու  փոխարեն, եկեք  պահանջենք  իշխանություններից  թող  պարզաբանում  տան, որ  բոլորի  համար  հասկանալի  լինի, թե  չե  էս  ինչի է  նման՞՞՞՞՞"
negative,"ահավոր է😈  փոխանակ այգիներն ավելացնեն, կանանչապատեն, շենքն շենքի վրա են կառուցում։։։։Շատ ափսոս((("
positive,"Հայկ ջան էս շարժման մեջ ես քեզ հայտնաբերեցի , շատ ուրախ եմ , որ դու կաս , կան քո նման երիտասարդներ , ովքեր սրտացավ են հայրենի բնության ամեն թիզ հողի  նկատմամբ;  Հաջողություն ձեր բոլոր հործերին:"
positive,"Շնորհակալ ենք տղաներ,դուք ոգեշնչում եք ձեր հոգատարությամբ Բնության պահպանության համար 🌍🌳⛅🌸"
positive,Շատ հետաքրքիր նախագիծ է որպես հետազոտող էքսկուրսիա միջին և բարձր  դասարաններիհամար։
positive,Մեծ սիրով պատրաստ եմ ցանկացած օգնություն ցուցաբերելու
positive,Վայ ապրեք դուք։
positive,Շատ ապրեք
positive,"Կեցցե՛ք,հաջողություն տանող ճանապարհը միշտ էլ դժվարին է լինում ...."
positive,"Կեցցեք, Հայկ ջան, հերոսական գործ եք անում։
Իմացեք որ եթե դրամահավաք կազմակերպեք, շատ միացողներ կլինեն։"
positive,"Բռավո` խոնարհվում եմ եխբայրներ, հայիս տեսակը այսուհետ անկոտրում է։"
positive,Մեծ գործ եք անում...Շնորհակալություն
positive,Հայենպաստ գործ էս անում  տղես
positive,Անգնահատելի գործ եք անում
positive,"Երբ ժպտում է էնքան ազնիվ,անկեղծ, պարզ է,որ ամբողջ դեմքն է արտահայտում ժպիտը 👍"
positive,Վերջապես ազգիս ներկայացուցիչը իսկական հայ ու արժանավոր մարդ է; որով կարող ենք անվերջ հպարտանալ
positive,Բա մենք ինչ հպարտ ենք
negative,"Քանի դեռ էս ազգը չի սիրում մտածել ու կուրորեն հավատալով ""հալած յուղի տեղ ա ընդունում"" ցանկացած բան, ինչ իրենց սովորեցնում են իրենց ծնողները, ում էլ սովորեցրել են իրենց ծնողները ու էսպես շարունակ, էս երկրի վիճակը սենց էլ շարունակվելու ա մնալ։ Մինչև դպրոցից հեպ խայտառակ առարկան չհանվի, ու ծնողները չհասկանան, որ չի կարելի իրենց երեխաներին զոռով ստիպել աստվածաշունչ կարդալ, զոռով տանել եկեղեցի ու ստիպել աղոթել, ու զոռով կնքել, ազգը մնալու ա հորինվածքի առաջ ծնկի իջած։"
negative,"էս ինչքան անիմաատ բաներ եք գիում ,ժողովուրդ,էս ուր ենք գնում,ուր ենք էսպես հասնելու, մարդը շատ հիմար է և խաբված սատանայից,ինչ է ուզոմ էիք Աստծուն հենց էսպես ամեն օր տեսնեիք,որ Աստծուն ադալժենյա անեիք,ասեիք ,թե հավատում եք,ես կասեմ մեր Աստծո խոսքերը,երնեք նրան,ով  չի տեսնի,բայց կհավատա,կամ էլ ,,մարգարիտները խոզերի առաջ շաղ մի տվեք,կանչվածները շատ են,իսկ ընտրյալները քիչ ,ու պետք չի ծակ պրոֆեսորություններ անել ,դա առնվազն անմտություն է...."
positive,Ժողովուրդ մի վախեցեք հանեք ձեր մեջից վախերը եթե ստիպում են մի գնացեք ինչ պիտի անեն
negative,"չենք մերժում, դատի ենք տալի"
negative,Բոլորի դեմ պետք է քրեական գործ հարուցել
negative,խայտառակություն է
