       HWN_Offset SWN_Offset              Armenian                                      English  Positive  Negative  Objective
0             NaN   00011160                  ագահ                               greedy,glutton     0.000     0.000      1.000
1             NaN   04945530           ագահություն                     greed,greediness,glutton     0.000     0.375      0.625
2             NaN   07734744              ագարիկոն                                     mushroom     0.000     0.000      1.000
3             NaN   12997919              ագարիկոն                                     mushroom     0.000     0.000      1.000
4             NaN   13000891              ագարիկոն                                     mushroom     0.000     0.000      1.000
5             NaN   13001041              ագարիկոն                                     mushroom     0.000     0.000      1.000
6             NaN   01579028                 ագռավ                            crow,raven,spades     0.000     0.125      0.875
7             NaN   06909391                 ագռավ                            crow,raven,spades     0.000     0.000      1.000
8             NaN   07382286                 ագռավ                            crow,raven,spades     0.000     0.500      0.500
9             NaN   09654259                 ագռավ                            crow,raven,spades     0.000     0.000      1.000
10            NaN   00082241               ագրեսիվ                                   aggressive     0.500     0.000      0.500
11            NaN   07753592             ադամաթուզ                                       banana     0.000     0.000      1.000
12            NaN   00281173               ադամանդ                            brilliant,diamond     0.375     0.125      0.500
13            NaN   01058363                  ազատ                                         free     0.000     0.625      0.375
14            NaN   01061489                  ազատ                                         free     0.375     0.000      0.625
15            NaN   01065694                  ազատ                                         free     0.000     0.625      0.375
16            NaN   01624010                  ազատ                                         free     0.000     0.750      0.250
17            NaN   02520219              ազատակամ                                    voluntary     0.375     0.250      0.375
18            NaN   02522267              ազատակամ                                    voluntary     0.000     0.000      1.000
19            NaN   01058363              ազատամիտ                                         free     0.000     0.625      0.375
20            NaN   01061489              ազատամիտ                                         free     0.375     0.000      0.625
21            NaN   01065694              ազատամիտ                                         free     0.000     0.625      0.375
22            NaN   01624010              ազատամիտ                                         free     0.000     0.750      0.250
23            NaN   10001058              ազատարար                                    deliverer     0.000     0.000      1.000
24            NaN   02312882                ազատել                   emancipate,dismiss,relieve     0.375     0.250      0.375
25            NaN   02312996                ազատել                   emancipate,dismiss,relieve     0.500     0.500      0.000
26            NaN   00787832           ազատություն               liberation,deliverance,freedom     0.000     0.000      1.000
27            NaN   13991823           ազատություն               liberation,deliverance,freedom     0.000     0.000      1.000
28            NaN   08303692                   ազգ                    nation,people,gender,sort     0.000     0.000      1.000
29            NaN   07942152                   ազգ                    nation,people,gender,sort     0.000     0.000      1.000
30            NaN   07971141                   ազգ                    nation,people,gender,sort     0.000     0.000      1.000
31            NaN   04746262                   ազգ                    nation,people,gender,sort     0.000     0.125      0.875
32            NaN   10626722                   ազգ                    nation,people,gender,sort     0.000     0.000      1.000
33            NaN   01257969      ազգաբնակչություն                                   population     0.000     0.000      1.000
34            NaN   08178741      ազգաբնակչություն                                   population     0.000     0.000      1.000
35            NaN   08179879      ազգաբնակչություն                                   population     0.000     0.000      1.000
36            NaN   13779804      ազգաբնակչություն                                   population     0.000     0.000      1.000
37            NaN   09956035         ազգակցություն                                   connection     0.000     0.000      1.000
38            NaN   09956147         ազգակցություն                                   connection     0.000     0.000      1.000
39            NaN   01105840               ազգային                                     national     0.000     0.000      1.000
40            NaN   01567862               ազգային                                     national     0.000     0.000      1.000
41            NaN   01861776               ազգային                                     national     0.000     0.000      1.000
42            NaN   02988060               ազգային                                     national     0.000     0.000      1.000
43            NaN   02988281               ազգային                                     national     0.000     0.000      1.000
44            NaN   02988402               ազգային                                     national     0.000     0.000      1.000
45            NaN   05965022     ազգայնականություն                                  nationalism     0.250     0.000      0.750
46            NaN   05965195     ազգայնականություն                                  nationalism     0.000     0.000      1.000
47            NaN   07485047     ազգայնականություն                                  nationalism     0.000     0.000      1.000
48            NaN   10346015            ազգայնամոլ                                  nationalist     0.000     0.000      1.000
49            NaN   05965022     ազգայնամոլություն                                  nationalism     0.250     0.000      0.750
50            NaN   05965195     ազգայնամոլություն                                  nationalism     0.000     0.000      1.000
51            NaN   07485047     ազգայնամոլություն                                  nationalism     0.000     0.000      1.000
52            NaN   10344922         ազգանվանակիակ                                     namesake     0.000     0.000      1.000
53            NaN   07949463            ազգություն                                  nationality     0.000     0.000      1.000
54            NaN   13953787            ազգություն                                  nationality     0.000     0.000      1.000
55            NaN   09185280              ազդանշան                                       signal     0.000     0.000      1.000
56            NaN   11447319              ազդանշան                                       signal     0.000     0.000      1.000
57            NaN   02078855                 ազդել                insinuate,take,inspire,affect     0.000     0.000      1.000
58            NaN   01842690                 ազդել                insinuate,take,inspire,affect     0.000     0.000      1.000
59            NaN   02205272                 ազդել                insinuate,take,inspire,affect     0.000     0.000      1.000
60            NaN   02599636                 ազդել                insinuate,take,inspire,affect     0.000     0.000      1.000
61            NaN   01646682                 ազդել                insinuate,take,inspire,affect     0.000     0.000      1.000
62            NaN   00019448                 ազդել                insinuate,take,inspire,affect     0.000     0.000      1.000
63            NaN   01830134               ազդեցիկ                                  influential     0.125     0.000      0.875
64            NaN   00113532          ազդեցություն                            impression,leaven     0.000     0.000      1.000
65            NaN   00549106          ազդեցություն                            impression,leaven     0.000     0.000      1.000
66            NaN   03564849          ազդեցություն                            impression,leaven     0.000     0.000      1.000
67            NaN   05562249                  ազդր                                    thigh,hip     0.000     0.000      1.000
68            NaN   05556325                  ազդր                                    thigh,hip     0.000     0.000      1.000
69            NaN   13890679                  ազդր                                    thigh,hip     0.000     0.000      1.000
70            NaN   00044132                 ազդու                         effective,impressive     0.500     0.000      0.500
71            NaN   00839225                 ազդու                         effective,impressive     0.125     0.000      0.875
72            NaN   01660712                 ազդու                         effective,impressive     0.250     0.000      0.750
73            NaN   01282014                 ազդու                         effective,impressive     0.125     0.000      0.875
74            NaN   01225643                 ազնիվ                 honest,noble,grateful,decent     0.750     0.000      0.250
75            NaN   01851795                 ազնիվ                 honest,noble,grateful,decent     0.250     0.625      0.125
76            NaN   02180157                 ազնիվ                 honest,noble,grateful,decent     0.500     0.125      0.375
77            NaN   01588172                 ազնիվ                 honest,noble,grateful,decent     0.625     0.000      0.375
78            NaN   01590115                 ազնիվ                 honest,noble,grateful,decent     0.000     0.250      0.750
79            NaN   01930244                 ազնիվ                 honest,noble,grateful,decent     0.000     0.125      0.875
80            NaN   01801327                 ազնիվ                 honest,noble,grateful,decent     0.500     0.375      0.125
