Label,Text
positive,Խոհրդարանում հրեաների պատգամավոր.«Իրանը կայուն խաղաղություն է ցանկանում ողջ աշխարհի համար» https://t.co/bMeoGcaGth
positive,"Երկուսն էլ նվեր եմ ստացել, հրաշալի գրքեր են, մեկ շնչով եմ կարդացել😊"
positive,"[ՎԻԴԵՈ]
Երգչուհի Սրբուհի Սարգսյանն իր կատարմամբ ստիպել է դեպի իրեն շրջվել ուկրաինական «Ձայնը» նախագծի 4 մարզչից 3-ին https://t.co/SN3X06dEoJ"
negative,"@degerogh մի խոսքով, պատերազմները շատ վատ բաներ են
ու ոչ մեկ, երբեք էլ չի իմանա, թե ինչ ա կատարվել իրականում, մենակ… https://t.co/7HlkT1Tk8c"
positive,"@curlygll @vardzelyan լավ, խոստանում եմ, ես քեզ չեմ հիասթափացնի &lt;3"
negative,Ջուր չի լինի Արարատի մարզում: https://t.co/uBlxJoIdy7
negative,Դատախազության կողմից դատարան բերված կեղծ թարգամանության հիման վրա կալանավորվել է ՌԴ քաղաքացի Արտեմ Սատալկինը https://t.co/KxjR5ZD5oX
positive,"@degerogh բայց Ռուզվելտն, իրոք, շատ ուժեղ ու օրինակելի քաղաքական գործիչ ա)"
positive,"Հիանալի երգ, գեղեցիկ կատարում... https://t.co/ObJNNSwpHm"
positive,"ԱՆՆԱԽԱԴԵՊ ԱՌԱՋԱՐԿ! 
#3DMassager
Ձե՛ռք բերեք այս հիանալի մերսող սարքը, որը մերսում է Ձեր դեմքը, ուսերը, գլուխը և... https://t.co/koQHGrjpfS"
positive,Շատ հետաքրքիր նախագիծ է որպես հետազոտող էքսկուրսիա միջին և բարձր  դասարաններիհամար։
negative,Երևանում բախվել են 22-ամյա վարորդի Infiniti-ն և 31-ամյա վարորդի Mercedes-ը (տեսանյութ) | Գ. Շամշյան... https://t.co/O60AgDxzeJ
positive,"Երևանում կմեկնարկեն բակերի և զբոսայգիների բարեկարգման, ինչպես նաև նկարազարդ կամարանցումների թարմացման աշխատանքները https://t.co/WJBsjHDL0k"
positive,Այ էսպիսի հարգանք վայելես
negative,"Իսկ ես ունեմ գրքից չսիրած հատված,որ չէի ուզի գրքում տեսնել, մի տեսակ զայրացնող արտահայտություն"
negative,"Սրանից լավ հոտ չի գալիս. ԱԳ փոխնախարարը Երեանի ավագանու միջադեպի մասին
#ծեծկռտուք https://t.co/tJnmBHfMCF"
negative,"այն ոստիկանները, ովքեր ներկա են գտնվել այստեղ և նմանատիպ այլ վայրերում և պահել են այս .......... շահերը, պետք է պատժվեն ամենայն խստությամբ:"
negative,Մահվան ելքով վրաերթ Ռոստովյան փողոցում. վարորդը ձերբակալվել է https://t.co/DBvxuunppC
positive,"Դանիայի կանանց հավաքականի գեղեցիկ անակնկալը երկրպագուներին️🇩🇰️
#welivebadminton #denmark #kazan2018 https://t.co/WSsEqwMvMp"
positive,Ինձ հաճելի է Մենչի հետ աշխատելը. Գարիկ Սեփխանյանը՝ «Ֆուլ հաուս» 2-ի մասին https://t.co/8sZvfAc1FP
negative,"ՀՀ-ում տեղի է ունեցել լայն սպառման ապրանքների հսկայական գնաճ, որն առնվազն 21.9% է. Նիկոլ Փաշինյան https://t.co/8ep6jbZCsM"
negative,Մարդիկ մեկուկես միլյառթ փողեն ծախսում անշահախնդիր որ նվեր անեն տականքի պեսեք ընդունում նվերը ու վապշե հայտնի չի թե երբեք հայտնվել Երեվանում գեղերից գալիս պայմաններեն թելադրու որ ման գաս միհատ Երեվանցի չէս գտնի սրանց մեջ
negative,"Ամոթա լավ հերիքե արդեն իրոք, քաղաքում անիմաստ քաոս ստեղծելով տարբեր անկյուններում չենք օգնում միայն վնասում ենք։"
positive,"RT @BTSArmenianArmy: INSTAGRAM | 171120 | jacksonwang852g7

Շնորհակալություն հրավերի համար: Սա հիանալի փորձ էր: https://t.co/Qw18lehWxF"
negative,Այ տսկանք դավաճաներ ձեր նման երի պատճառով է որ մի բուռ հող էմնսցել
negative,"Անցած շաբաթ Ադրբեջանը շփման գծում հրադադարի ռեժիմը խախտել է շուրջ 250 
անգամ https://t.co/3qWTcw3m5c"
positive,Բենզեմայի արդյունավետ խաղը՝ «Բենիտո Վիլյամարինում» :: https://t.co/3PN46pIGkg https://t.co/2T9zyreZQR
negative,"Կարեն Կարապետյանը ցույց տվեց, որ ՀՅԴ-ական նախարարներն էլ իրենց հերթին են վատ աշխատում. «Ժողովուրդ» https://t.co/ueuWNq75Dt"
positive,ապրի հեղինակը
negative,"Սրանք լռիվ աննոռմալ են.....ներվերս չի հերիքում արդեն ,"
positive,«Արցախի» դարպասապահ Սամուր Ագամագոմեդովը գեղեցիկ սեյվ է կատարել👇👇 https://t.co/9A1OQOxYRU
positive,"Անչափ գեղեցիկ նկարներ, թե ինչ տեսք ունեն տարբեր երկրներում ապրող ալբինոսները (Photo) https://t.co/sfX8jBJqhp"
positive,Մեծ գործ եք անում...Շնորհակալություն
positive,"one more tomhanks to your feed 😊 〰️
«Ամբողջ կյանքում շրջապատված եմ եղել հիանալի պատմիչներով, եւ… https://t.co/HqgmCgeyy8"
negative,"Քիչ առաջ վատ լուր ստացանք, Երևանի քաղապետարանի ավագանու նիստին ինչ է եղել Մարտին Վարդազարյանին, նա այս պահին... https://t.co/301M6aM8DX"
positive,Շատ լավն է😘
positive,"Երդվեց; Ծառայում է Հայաստանի Հանրապետությանը!!!
Անասելի հպարտ եմ :) 
Թող բարի լինի ծառայությունը, առողջ վերադառնա հրաշքս:"
