,Unnamed: 0,ID,Tweet,Emotions
0,0,2018-En-00866,"@RanaAyyub @rajnathsingh Օ՜, թաքնված վրեժ և զայրույթ... Ես հիշում եմ ժամանակը, նա հերքեց քեզ:",anger
1,1,2018-En-02590,"Ես այս ամենն անում եմ, որպեսզի համոզվեմ, որ դու ինձ ժպտում ես, եղբայր",joy
2,2,2018-En-03361,"եթե ոչ, ապա #teamchristine bc այն ամենը, ինչ Տանան արել է, սադրել է նրան՝ թվիթերում ստվերային բաներ գրելով և փորձելով լինել ծանր բիձա, որը կռիվ է աղերսում:",anger
3,3,2018-En-03230,"Դա #հիանալի սկիզբ է #սկսնակների համար՝ անցնելու ավտո #առևտրի: ՇԱՀԱՎԵՏ FX EA-ն ձեզ լիարժեք աջակցություն կտա, ձեռնարկներ & AMP; Team Viewer աջակցություն:",joy
4,4,2018-En-01143,Իմ լավագույն ընկերներն առաջին անգամ ինձ հետ վարում են մեքենան #սարսափելի,fear
5,5,2018-En-04301,Hey @SuperValuIRL #Fields in #skibbereen-ում ձեր առցանց առաքման ծառայությանը սարսափելի անվանում են տալիս: 1 ժամ ուշացումով առաքման պատուհանից:,anger
6,6,2018-En-02651,Ինչու՞ #Էմերդեյլը ստիպված եղավ կողոպտել #robron-ին իրենց առաջին երեխայի ծնունդն այդ ստոր կնոջ համար/խաբել sl smh #դառը,anger
7,7,2018-En-03058,"@ThomasEWoods Ես կցանկանայի լսել մի փոդքաստ, որտեղ դուք հերքում եք նրա ամբողջ հոդվածը: Լրացուցիչ վրդովմունք խնդրում եմ։",anger
8,8,2018-En-03951,"Եթե ​​ստիպված լինեմ ևս մեկ անգամ լսել, թե ինչպես եմ ես վախեցնում տղամարդկանց... Ես կպայթեմ: Ինչու՞ են տղաները այս օրերին այդքան հալածված:",anger
9,9,2018-En-00968,դեպրեսիան տհաճ է 😔,sadness
10,10,2018-En-01472,"Օ, մելամաղձոտ կատակոմբները արագ թափառեցին Մորգ փողոցում, խելագար:",sadness
11,11,2018-En-01501,"#LouiseLinton - ատողները ատում են, շարունակելու են լինել քո #առասպելական եսը, նրանք կշարունակեն #թշվառ լինել",sadness
12,12,2018-En-02929,"Կատարյալ #Հիշեք #զարմանալի #սյուրռեալիստական ​​#ընդհանուր արեգակնային ռեկլիպսը, այնքան #բախտավոր է #փորձել #Եվրոպայում #ՇատՏարիներԱռաջ #Live \n#Happy 4 #YouGuys #USA 😘",joy
13,13,2018-En-04078,"Այնքան ուրախ եմ, որ տուն եմ Իբիցայից, այդ վայրն այլ բան է, որ պետք է թռչուն գտնել հիմա, ես ուզում եմ սկսել ռոմանտիկ բաներ անել հիմա 😂😂",joy
14,14,2018-En-02748,"#RIPBiwott Կարծում եմ, որ Ռոբերտ Ուկոսի հոգին այժմ կարող է ուրախանալ և հանգստանալ: Չար մարդուն անվանիր չար, իսկ բարիին բարի մարդ: Նա չար մարդ էր",anger
15,15,2018-En-04018,@itejasmehta @QTalker Ուրախ եմ 😊,joy
16,18,2018-En-03053,@GarfieldLineker @TimCRoberts *իր մեջքին: Ներողություն եմ խնդրում քերականական սխալով թվիթը վերանայելու համար #mybad 😱,sadness
17,19,2018-En-01325,"@Dat_Phan Չափազանց զվարճալի է, երբ հարցազրույց է տալիս անսահման տաղանդավոր և զվարճալի #DatPhan #Comedy #ծիծաղ #ապուր",joy
18,20,2018-En-02658,@pepesgrandma @FreeBeacon Շնորհակալություն վաղ առավոտյան ծիծաղի համար ❤,joy
19,21,2018-En-02557,"#իմպիչմենտի ժամանակն է. Նա #խելագար է #հոգեկան #հիվանդ և #ատելություն է ցայտում։ #Ամերիկան ​​դժվարության մեջ է, քանի որ նա #միջուկային կոդերի #մատչում ունի 👎👎",anger
20,23,2018-En-01237,#Թրամփի միակ #մտահոգությունը անձնական #շահույթն է իր #բրենդի միջոցով և #լավություններ անելը ուրիշների համար՝ իր կարիքների համար առևտրում: Ոչ #ԱՄՆ #մարդիկ.,anger
21,24,2018-En-04310,"Ամոթ է, որ cashback @mbna @AmexUK վարկային քարտը մոտենում է ավարտին: Ես անհամբեր սպասում էի տարվա վերջի այդ բոնուսին: Իրոք, տխուր. #cashback",sadness
22,28,2018-En-01798,"Լուսավորե՛ք մռայլ օրը @SiennaXOfficial արևայրուքով, մենք բոլորին հարմար արևայրուք ունենք: #spraytan #tan #summer #godalming #hurtmore",joy
23,29,2018-En-02322,Գլուխը ցավում է 😤,sadness
24,32,2018-En-00832,"@skh4808 @theveteran425FA @TomiLahren Այդ դեպքում ինչու՞ էին նրանք մինչև հիմա սպասել, որ սկսեն բարկանալ:",anger
25,34,2018-En-02819,@RickHoffman_ Եվ մենք բոլորս շատ շնորհակալ ենք ձեր հաստատակամության համար: Շնորհավոր տարեդարձ երկվորյակ:,joy
26,35,2018-En-00825,"Դուք կարող եք ունենալ ավելի քան հարյուր միլիոն հետևորդ և դեռևս ոչ իսկական մարդ, ով հասկանում է ձեզ կամ ցանկանում է #չկարողանաք այս #տխրությունը",sadness
27,36,2018-En-00532,Օբամայի 250+ «Գործողության կազմակերպման» գրասենյակները սովորեցնում են #Դիմադրությունը #բողոքի #քաղաքացիական անհնազանդություն #դավաճանություն #LOCKHIMUP #OFA,anger
28,37,2018-En-01266,Ես երբևէ նորից ՉԵՄ հոգնելու: Այս երկրորդ երեխան ինձ ավելի բարձր դրեց 🙃 #աշխատանքային մայրիկ #շնորհակալ,joy
29,38,2018-En-00938,@_Oteraw դժբախտ ու չկատարված 😂,sadness
30,39,2018-En-04209,Հարցրեք իմ #snapchat #pussy #cock #horny #cum #wet #tis #follow,joy
31,40,2018-En-03249,"Իսրայելի վերջին քայլերը դեպի Արևմտյան Աֆրիկա, կարծես, կասկածի որոշ տարրեր են գրավում... թեև ավելորդ կասկած:",fear
32,41,2018-En-02434,@ScottAdamsSays-ը կոտրել է այն #CNBC-ի #snap հիանալի վերլուծության արդյունքում,joy
33,43,2018-En-02706,Ժպտա!!! #ուրախ #ժպիտ,joy
34,44,2018-En-00747,ԱՄՆ 5000 նոր #քաղաքացիներ երդվում են հիմա։ #արցունքներ #շնորհավորանք,joy
35,46,2018-En-02727,"Ամեն անգամ, երբ ես մտնում եմ այդ կայք՝ Լինդսի Վոնի նկարները դիտելու համար, ես #տխրում եմ մեր մշակույթի ընթացքից:",sadness
36,48,2018-En-01015,"Նովակը այդ գնդակներին տեսնում է որպես սեխ, կատարյալ պայմաններ նրա համար 😊 #Ուիմբլդոն",joy
37,49,2018-En-01394,"Ողորմիր ինձ, Աստված...որովհետև իմ հոգին Քո մեջ ապաստան է ստանում. Քո թեւերի ստվերում ես #ապաստան կառնեմ... Սաղմոս 57։1 #հույս #Հիսուս #ուրախություն",joy
38,51,2018-En-02529,երևի նայում եմ տխուր bts վիդեո bc տխուր եմ :( iwannacryy :(\n halppp,sadness
39,53,2018-En-02830,@Danger_McLovin Լավ արեցիք: 😀 (ձեր երկվորյակներ Չարլի և Քադանս),joy
40,57,2018-En-00942,"@sophieathertonn @lillynewtonx Դա իրականում սարսափելի է: Երբ տուն վերադառնաք, դուք հաճույք կստանաք:",anger
41,58,2018-En-02737,"@mashable Ինչ-ինչ պատճառներով սա ինձ հիացրել է: Տեսեք, թե ինչպես է մորաքույրը ծիծաղում:",joy
42,59,2018-En-04243,"Բարի լույս և ուրախ երեքշաբթի: Հուսով եմ, որ դուք հիանալի օր ունեք: Վայելե՛ք տոննաներով",joy
43,61,2018-En-01657,Այսօր տեսա իմ առաջին Լարսենի թակարդը սթրեսված կաչաղակի հետ: ԵՍ ԵՐԲԵՔ ԵՐԲԵՔ չեմ ցանկանա նորից տեսնել այդ #զայրացած #վնասված #վայրի բնությունը,anger
44,63,2018-En-00685,"Ուրախ եմ, որ մեկ անգամ թիմով խաղացինք tgt: Մտածեցի, որ այնտեղ ևս մեկ հնարավորություն կլինի, բայց, ցավոք, ոչ: Հանգչիր խաղաղությամբ իմ սիրելի ընկեր։ :(",sadness
45,64,2018-En-01707,Նա ակնհայտորեն հուզված էր @RobertCrayBand-ի երաժշտությունից այս երեկո և ցանկանում էր կիսվել սիրով: #բլյուզ #համերգ,joy
46,65,2018-En-01869,Նույն սխալները երկու անգամ թույլ տալու համար արդարացում չկա: Live & AMP; Իմացեք կամ զբաղվեք դժբախտ լինելու հետևանքներով #truthbomb,anger
47,66,2018-En-01824,Աստված այս հանդիպումը ձանձրալի է #Ուիմբլդոն,sadness
48,69,2018-En-02951,"@ShojoPower Այո, կամ այդ անիմացիոն կոմիքսների ֆիլմերը:",joy
49,72,2018-En-00428,@mrjamesob @LBC 😂 ձյան փաթիլ պատահական նման զվարճալի մարդ երբեք ձանձրալի պահ փայլուն,joy
50,73,2018-En-00956,"Քիչ խոսակցություններ, ասա, թե որ տարիքից սկսեցիր հիասթափեցնել ծնողներիդ",anger
51,76,2018-En-03731,Այսօր Լոնդոն Թաունում այլ մոտեցում ուներ: Ինձ & AMP; @SharonSAtkinson-ը զրուցել է: Լավ ժպտում եմ #չեմ կարող ծեծել #խոսում #ծիծաղում,joy
52,77,2018-En-03858,"#Սպինա #բիֆիդա #նյարդային #խողովակի #ծննդյան #թերություն, որտեղ #նյարդային #համակարգը &amp; #ողնաշարի #ողնաշարը լիովին չի զարգացնում #հազվագյուտ հիվանդություն #հունիսի #իրազեկումը",fear
53,78,2018-En-01932,Շնորհավոր #Օլիմպիական #մեծ և #չեմպիոն @jordyn_wieber 🎉 🎂 🎈,joy
54,79,2018-En-03226,ինչու են բոլորը լուրջ թվում:,surprise
55,80,2018-En-02753,ՎԱՃԱՌՎԱԾ Է!!!! Հաջորդ խմբաքանակը 3 օրից!!!!,joy
56,82,2018-En-01307,"Միայն ես կարող էի խոսել կատվաձկան հետ տինդերի վրա 💁😂 ուրախ եմ, որ այն լուրջ չեմ օգտագործում 🤣",joy
57,83,2018-En-04332,@1720maryknoll Ես #fuming Kenny.,anger
58,84,2018-En-01961,"#Հիսուս #ճշմարտություն Սաղմոս 32։11 Ով արդարներ, ուրախացե՛ք և ուրախացե՛ք Տիրոջ արածի համար։ Դուք, որ հնազանդվում եք նրան, գոռացեք ուրախությունից։",joy
59,85,2018-En-03599,"#Հույս #երիտասարդներ #հոգեկանԱռողջության հավասարակշռությունը վճռորոշ է մեր գոյության համար կյանքի սնուցման համար-ոչ շատ տխուր, չնայած մենք ցանկանում ենք #երջանիկ հավերժ, դա այդպես չէ🤣",joy
60,86,2018-En-02918,"Ձվերով եփելու ամենալավ բանն այն է, որ նույնիսկ եթե ձեր սկզբնական գաղափարը չաշխատի, դուք դեռևս եփած ձու ունեք: #լավատեսություն",joy
61,89,2018-En-02293,"Այն, թե ինչպես ես միշտ Twitter-ում եմ աշխատավայրում, մի փոքր տագնապալի է 🤦🏾‍♀️",fear
62,90,2018-En-03262,@_jesskardashian @trevschan2 երկուսն էլ հիանալի են: Մարդիկ կորցնում են վախը չդիտելու հնարավորությունը!!!,joy
63,91,2018-En-03974,"@HasegawaSona Մեծ, ատամնավոր ժպիտ, երբ նա շարժվում է:",joy
64,92,2018-En-04229,@rachelkennedy84 @callummay @Ned_Donovan @JeyyLowe @jimwaterson @dats Կարո՞ղ է դա անել զանգի ղողանջը և խունկը օծման ժամանակ:,surprise
65,93,2018-En-02949,"Ես իմ գրասենյակում շինարարներ ունեմ, և ես խաղ ունեմ պատրաստելու: Երևի վատ է սկսվում ուրվագծել հաջորդ խաղը... #gamedev #indiedev",joy
66,94,2018-En-03357,Տրամադրություն՝ ուրախ 🙂 #օրհնություն,joy
67,95,2018-En-03248,"Անհամբեր սպասում եմ, թե երբ կկատարենք 2nite @CrashTestComedy-ում #Verns-ում: #yyc #Calgary $5 #comedy #comedian #yycComedy #CalgaryComedy #զվարճանք #ծիծաղում #ուղիղ",joy
68,96,2018-En-04055,"Մի քանի բան, որոնք ինձ վախեցնում են, որոտ ասեղներ, կատուներ, սողացող տիկնիկներ, բարձրություններ և եզրեր",fear
69,98,2018-En-01713,#Hopkinsville #Ky is #total #clipse #capital of #world #Ougust 2017 #dancing n #Moon #dark #Eclipse2017 #EclipseAcrossAmerica #Edgar #Cayce,joy
70,99,2018-En-04050,"Այսպիսով, այսօր հետաքրքիր էր, առաջին #խուճապի հարձակումը։ Գուցե պետք է ինչ-որ բան անել դրա համար:",fear
71,102,2018-En-03339,@beautifuIbaek Վա՜յ: Հուսով եմ՝ կհաղթեմ: 😭 շնորհակալություն դրա համար։ 😊,joy
