,Unnamed: 0,ID,Tweet,Emotions
0,1,2017-En-31535,"Ինչ էլ որ որոշեք անել, համոզվեք, որ դա ձեզ #երջանիկ է դարձնում:",joy
1,3,2017-En-31436,"Ընդունեք մարտահրավերները, որպեսզի բառացիորեն նույնիսկ զգաք հաղթանակի ոգևորությունը»: -- Ջորջ Ս. Փաթոն 🐶",joy
2,4,2017-En-22195,"Իմ սենյակակից. լավ է, որ մենք չենք կարող ուղղագրել, քանի որ ունենք ավտոմատ ուղղում: #սարսափելի #առաջինաշխարհի խնդիրներ",anger
3,5,2017-En-22190,"Ոչ, բայց դա այնքան գեղեցիկ է: Աթսուն, հավանաբար, նախկինում ամաչում էր լուսանկարներից, բայց բալը օգնեց նրան դուրս գալ ուու",joy
4,7,2017-En-22180,"Ռունիսն անձեռնմխելի է, չէ՞: Դարձյալ սարսափելի էր, այս երեկո Depay-ը պարկեշտ տեսք ուներ",anger
5,8,2017-En-41344,"բավականին ճնշող է, երբ հարվածում ես քո սիրելի լուսարձակող սարքին",sadness
6,9,2017-En-20759,"@BossUpJaee, բայց քո փիսիկը թույլ էր այն ամենից, ինչ ես լսել էի այնքան, որ ինձ մոտ եղավ: Դուք պետք է սպառնաք նրան, որ հղի եք:",anger
7,10,2017-En-40158,Տարեկան անցում կատարելով ոգևորված և հուսադրող քոլեջ վերադարձողից հիվանդ և ուժասպառ հոռետեսի: #քոլեջ,sadness
8,12,2017-En-31337,Թիլլերն ու բրիզին պետք է համատեղ ալբոմ կազմեն: Ռեփը և երգելը prolly be fire,joy
9,14,2017-En-11274,"@bt_uk լայնաշերտ կապը ցնցող է, որ ափսոսում եմ հիմա գրանցվելու համար #զայրացած #պետք է գնալ կույսի հետ",anger
10,18,2017-En-10618,"Ինչքան դառն է կռիվը, այնքան քաղցր է հաղթանակը...",joy
11,20,2017-En-21011,@NHLexpertpicks @usahockey USA-ն ամոթալի էր դիտել: Ե՞րբ եք վերջին անգամ հաղթել խաղը... #սարսափելի #կատակ,anger
12,22,2017-En-40483,Ժամանակի գիտակցումը կորցրած ժամանակի գիտակցում է: #իրազեկում #ժամանակ,joy
13,23,2017-En-30807,"Ձեր ուրախությունը լցված Normy չոր humping ամենավերջին բարձրաստիճան հայտնի մարդկանց բաժանման խղճալի &amp; այն ամենը, ինչ սխալ է այսօր աշխարհում:",anger
14,25,2017-En-11184,Ի՜նչ բիծ մափեթ է։ @jRwild1 #stalker.,anger
15,26,2017-En-30230,@adamrodricks Ինձ դուր է գալիս ձեր լավատեսությունը:,joy
16,29,2017-En-10966,"Ինքնուղղումը փոխում է «em»-ը «ինձ»-ի, ինչը ես մեծապես դժգոհ եմ",anger
17,34,2017-En-30541,Դուք պետք է ճանապարհ գտնեք ինքներդ ձեզ վերացնելու համար։ #ուրախություն,joy
18,35,2017-En-20393,@Aliki111 Ատողներ!!! Դուք ցածր ինքնագնահատական ​​ունեք: Ինքն արդարացիր քո մոլորությունների մեջ: Փոփոխության մտքից դու սողում ես: Փոփոխությունն անխուսափելի է.,anger
19,36,2017-En-30296,"Ամեն առավոտ #ժպտացեք դրական գլխի համար, սկսեք ձեր #հաճախորդների հարաբերություններից",joy
20,39,2017-En-21752,"@imtarakate Ugg, դա իսկապես սարսափելի է: Դուք ոչ մի երևակայությամբ վատ մարդ չեք: Հուսով եմ, որ այս մարդը դա գիտակցում է:",fear
21,41,2017-En-40949,"Ապրել #դեպրեսիայի հետ չի նշանակում, որ դու պետք է պարտվես դրանով\nամեն օր նոր օր է, և երեկը չի որոշում, թե ինչպիսին է այսօրը :-)",sadness
22,42,2017-En-20092,"Նոր #ահաբեկչական սպառնալիքի և #Մումբայի զգոնության ֆոնին, աղոթում ենք անվտանգության համար &amp; բոլորի անվտանգությունը քաղաքում #Maharashtra #news",fear
23,43,2017-En-21374,"@TamraBarney @ShannonBeador @RHOC_KellyDodd Թամրան կվերցներ նրան, եթե նա թեքվեր Թամրայի վրա\nՔելլին 💩 #needstobeadmitted #bully",anger
24,45,2017-En-21219,"Մոտ 7 շաբաթ, մինչև ես կարողանամ նորից վերցնել իմ տեսախցիկը: Թեև ես կարծում եմ, որ հոկտեմբերին խմբակային նկարահանում կա գերեզմանոցում, ես կարող եմ անել: #լուսանկարչություն",joy
25,46,2017-En-30081,@morgannbroom այո ❤️❤️ &amp; cheering homecoming խաղ!,joy
26,50,2017-En-20764,"@BigLepley @angela31694996 @TheIndigoArrow Ցանկանու՞մ եք միասին ստեղծել բայքերների խումբ, երբ թողարկվի GTA Online Biker DLC-ն:",joy
27,52,2017-En-41397,"Հնարավոր է, որ դեղերը փոխելն ավելի լավ է չանել սթրեսի ժամանակ: Դժվար է ասել, թե հուսահատության որ մասն է հանգամանքը, որն է թմրանյութը:",sadness
28,53,2017-En-41073,"Այսօր ես զարմանալիորեն մռայլ էի զգում իմ վատ հետախույզների համար: «Բայց ես գիտակցում եմ, որ այդ ամենը պարզապես RNG է, և այո, ես այդքան թանկարժեք քարեր չեմ ծախսել:",sadness
29,54,2017-En-10559,"Ես նաև, անկասկած, դեռ դառնացած եմ դեղին ռեյնջերի ասիացի չլինելու համար, բայց Հոլիվուդում ասիական ներկայացուցչությունը, այնուամենայնիվ, ըստ էության ուսերը թոթվել է:",anger
30,55,2017-En-20648,"@mas_critical Զավեշտն այն է, որ նրանք, ովքեր բողոքում են նման բաների դեմ, օրուելյան մղձավանջն է, որի դեմ նրանք կարծում են, որ պայքարում են:",anger
31,56,2017-En-21927,"@loismackey_ @Dory, դա սարսափելի է",anger
