Label,Text
joy,Խոհրդարանում հրեաների պատգամավոր.«Իրանը կայուն խաղաղություն է ցանկանում ողջ աշխարհի համար» https://t.co/bMeoGcaGth
joy,"Երկուսն էլ նվեր եմ ստացել, հրաշալի գրքեր են, մեկ շնչով եմ կարդացել😊"
joy,"[ՎԻԴԵՈ]
Երգչուհի Սրբուհի Սարգսյանն իր կատարմամբ ստիպել է դեպի իրեն շրջվել ուկրաինական «Ձայնը» նախագծի 4 մարզչից 3-ին https://t.co/SN3X06dEoJ"
sadness,"@degerogh մի խոսքով, պատերազմները շատ վատ բաներ են
ու ոչ մեկ, երբեք էլ չի իմանա, թե ինչ ա կատարվել իրականում, մենակ… https://t.co/7HlkT1Tk8c"
joy,"@curlygll @vardzelyan լավ, խոստանում եմ, ես քեզ չեմ հիասթափացնի &lt;3"
fear,Ջուր չի լինի Արարատի մարզում: https://t.co/uBlxJoIdy7
anger,Դատախազության կողմից դատարան բերված կեղծ թարգամանության հիման վրա կալանավորվել է ՌԴ քաղաքացի Արտեմ Սատալկինը https://t.co/KxjR5ZD5oX
joy,"@degerogh բայց Ռուզվելտն, իրոք, շատ ուժեղ ու օրինակելի քաղաքական գործիչ ա)"
surprise,"Հիանալի երգ, գեղեցիկ կատարում... https://t.co/ObJNNSwpHm"
joy,"ԱՆՆԱԽԱԴԵՊ ԱՌԱՋԱՐԿ! 
#3DMassager
Ձե՛ռք բերեք այս հիանալի մերսող սարքը, որը մերսում է Ձեր դեմքը, ուսերը, գլուխը և... https://t.co/koQHGrjpfS"
joy,Շատ հետաքրքիր նախագիծ է որպես հետազոտող էքսկուրսիա միջին և բարձր  դասարաններիհամար։
sadness,Երևանում բախվել են 22-ամյա վարորդի Infiniti-ն և 31-ամյա վարորդի Mercedes-ը (տեսանյութ) | Գ. Շամշյան... https://t.co/O60AgDxzeJ
joy,"Երևանում կմեկնարկեն բակերի և զբոսայգիների բարեկարգման, ինչպես նաև նկարազարդ կամարանցումների թարմացման աշխատանքները https://t.co/WJBsjHDL0k"
joy,Այ էսպիսի հարգանք վայելես
anger,"Իսկ ես ունեմ գրքից չսիրած հատված,որ չէի ուզի գրքում տեսնել, մի տեսակ զայրացնող արտահայտություն"
fear,"Սրանից լավ հոտ չի գալիս. ԱԳ փոխնախարարը Երեանի ավագանու միջադեպի մասին
#ծեծկռտուք https://t.co/tJnmBHfMCF"
anger,"այն ոստիկանները, ովքեր ներկա են գտնվել այստեղ և նմանատիպ այլ վայրերում և պահել են այս .......... շահերը, պետք է պատժվեն ամենայն խստությամբ:"
sadness,Մահվան ելքով վրաերթ Ռոստովյան փողոցում. վարորդը ձերբակալվել է https://t.co/DBvxuunppC
surprise,"Դանիայի կանանց հավաքականի գեղեցիկ անակնկալը երկրպագուներին️🇩🇰️
#welivebadminton #denmark #kazan2018 https://t.co/WSsEqwMvMp"
joy,Ինձ հաճելի է Մենչի հետ աշխատելը. Գարիկ Սեփխանյանը՝ «Ֆուլ հաուս» 2-ի մասին https://t.co/8sZvfAc1FP
sadness,"ՀՀ-ում տեղի է ունեցել լայն սպառման ապրանքների հսկայական գնաճ, որն առնվազն 21.9% է. Նիկոլ Փաշինյան https://t.co/8ep6jbZCsM"
anger,Մարդիկ մեկուկես միլյառթ փողեն ծախսում անշահախնդիր որ նվեր անեն տականքի պեսեք ընդունում նվերը ու վապշե հայտնի չի թե երբեք հայտնվել Երեվանում գեղերից գալիս պայմաններեն թելադրու որ ման գաս միհատ Երեվանցի չէս գտնի սրանց մեջ
anger,"Ամոթա լավ հերիքե արդեն իրոք, քաղաքում անիմաստ քաոս ստեղծելով տարբեր անկյուններում չենք օգնում միայն վնասում ենք։"
joy,"RT @BTSArmenianArmy: INSTAGRAM | 171120 | jacksonwang852g7

Շնորհակալություն հրավերի համար: Սա հիանալի փորձ էր: https://t.co/Qw18lehWxF"
anger,Այ տսկանք դավաճաներ ձեր նման երի պատճառով է որ մի բուռ հող էմնսցել
anger,"Անցած շաբաթ Ադրբեջանը շփման գծում հրադադարի ռեժիմը խախտել է շուրջ 250 
անգամ https://t.co/3qWTcw3m5c"
joy,Բենզեմայի արդյունավետ խաղը՝ «Բենիտո Վիլյամարինում» :: https://t.co/3PN46pIGkg https://t.co/2T9zyreZQR
sadness,"Կարեն Կարապետյանը ցույց տվեց, որ ՀՅԴ-ական նախարարներն էլ իրենց հերթին են վատ աշխատում. «Ժողովուրդ» https://t.co/ueuWNq75Dt"
joy,ապրի հեղինակը
anger,"Սրանք լռիվ աննոռմալ են.....ներվերս չի հերիքում արդեն ,"
