,Column1,Column2,Column3,Column4,Column5
0,5.23065e+17,aaron rodgers,negative,"@Espngreeny Ես Ֆինսի երկրպագու եմ, ուրբաթ է, իսկ Ահարոն Ռոջերսը դեռ 5 օր անց մղձավանջներ է տալիս ինձ: Ես կցանկանայի, որ դա փչում էր:",
1,5.22477e+17,aaron rodgers,positive,Ահարոն Ռոջերսը իրոք որսում է կիրակի երեկոյան կեղծ հասկը: Wtf. Կախարդության պես աշխատեց: Մարդիկ պարզապես ուզում են բողոքել Լ.,
2,5.22512e+17,aaron rodgers,positive,Բրիտանացի Ահարոն Ռոջերսը կարող է լինել ամենահայտնի կերպարը: http://t.co/h5KmqlB01F,
3,5.2252e+17,aaron rodgers,positive,Ինչն է Ահարոն Ռոջերսին այդքան լավը դարձնում վերջին պահերին կիրակի օրը Միայի դեմ խաղում... - http://t.co/6QZYqDdlDa,
4,5.22678e+17,aaron rodgers,positive,"Ահարոն Ռոջերսի վերջին դրայվը անհավանական էր: Բայց մարդ, նրա բախտը բերեց 4-րդ և 10-ին, որ Գրայմսը սայթաքեց: Նետեց այն մի ոտքի վրա հենված:",
5,5.22868e+17,aaron rodgers,positive,"Ահարոն Ռոջերս. լավն է 4-րդ քառորդում, բայց ընդհանուր առմամբ չափազանց զգույշ: http://t.co/P3sxv8hKTd",
6,5.22912e+17,aaron rodgers,negative,Կարծես թե @Panthers Defense-ը կիրակի օրը A կստանա: Իմ վարկածը. Ահարոն Ռոջերսը շատ ցեխով կարկանդակներ է ուտելու։#KeepPounding,
7,5.18286e+17,aaron samuels,negative,"@amyrobJAFEEL-ը հենց նոր տեղեկացրեց ինձ, որ Ահարոն Սամուելսը իրական կյանքում միասեռական է...երազները կործանված են: Հոկտեմբերի 3-ը ավերված է.",
8,5.19127e+17,aaron samuels,negative,"Ես երազում էի, որ Ահարոն Սամուելսը ուրախ չէր, որ հոկտեմբերի 3-ն էր…",
9,5.18241e+17,aaron samuels,positive,Հոկտեմբերի 3-ն է։ Mean Girls-ից տասը տարի: Ահարոն Սամուելսը դեռ կարող է ստանալ այն:,
10,5.19292e+17,aaron samuels,positive,"Միակ բանը, որ կարող է ավելի լավ լինել, քան Ահարոն Սամուելսը պարում է «Dance with the Stars»-ի ջինգլի զանգը, եթե դա լիներ հոկտեմբերի 3-ին:",
11,5.18436e+17,aaron samuels,negative,"Հոկտեմբերի 4-ն է։ Եկեք իրական լինենք, Ահարոն Սամուելսը, հավանաբար, այդ ժամանակ էլ նրան հարցրեց ամսաթիվը: Այդ տղան գործիք էր։ #MeanGirls",
12,5.18244e+17,aaron samuels,negative,"Շատ կատաղած մի խելահեղ օր անցկացրեց աշխատավայրում, և ես բոլորովին մոռացել էի, որ հոկտեմբերի 3-ն է, Աարոն Սամուելսը:",
13,5.22998e+17,abc,positive,"ABC-ի #TGIT-ը կարող է պարզապես շաբաթվա լավագույն գիշերը լինել՝ հիանալի քասթինգից մինչև պատմություններ, կատարումներ և երաժշտություն, որը կապում է այդ ամենը միասին:",
14,5.22992e+17,abc,negative,Չկարողացա ABC-ն դիտել այս երեկո...չէի կարող այսօր մեկ ունցիա ավելի շատ դրամա ընդունել: Կհասնի վաղը:,
15,5.22982e+17,abc,positive,"Լրջորեն սիրում եմ Ինչպես ազատվել սպանությունից: Ինձ պետք է, որ ABC-ն թույլ տա ինձ դիտել 3-րդ և 4-րդ դրվագները հիմա, որպեսզի կարողանամ հաջորդ հինգշաբթին անցնել:",
16,5.23097e+17,abc,positive,Ուրախ ուրբաթ և մի մոռացեք ABC's of Yoga սեմինարի մասին վաղը ժամը 13-15-ը: Սկսնակները կսովորեն... http://t.co/UCyxKpW3aX,
